verified,followers_count,following_count,tweet_like_count,tweet_retweet_count,tweet_reply_count,tweet_quote_count,sentiment,tweet_text
FALSE,0,0,0,0,0,0,bullish,49that spaces bad crypto save drama fiat best crypto discord group 80kmember even ha
FALSE,1,2,0,0,0,0,neutral,som cyptocurrency btc eth crypto w leone new hoping person knows
FALSE,1853,3,0,0,0,0,neutral,cardano ada whale laced transaction output 21m 095m usd tx info support us stake peace pool stake sharpeasy1boostgmblfintech blockchain crypto
FALSE,3,49,0,0,0,0,bullish,guys built great project heelped havve mmore confidence crypto projjeectsglodao
FALSE,6,0,0,0,0,0,bearish,wsj singapores central bank slams crypto trading talks digitalasset opportunities
FALSE,3547,182,0,0,0,0,bearish,price change price cocosusdt go 41 previous price 07583 current price 07284cocos cocosusdt crypto pricegodown
FALSE,1124,9,0,0,0,0,bullish,argentinian province mendoza starts accepting tax payments incrypto
FALSE,19708,4036,0,0,0,0,bullish,chance crypto prices go lower yesdo personally think go lower yesam selling crypto nfts hell im baller like
FALSE,4721,136,0,0,0,0,bearish,think truncated near time high alternative tbh btc bnb pair cycle peaks around think comenormally parabolic move like crypto struggle make new high unlikely w4 imo
FALSE,3904,2750,0,0,0,0,neutral,care crypto cloaks anyone create something 3d printer sell profit wish proprietary builds whats issue
FALSE,15,102,0,0,0,0,bearish,bots useless nfts crypto projects
TRUE,4777,701,0,0,1,0,bearish,ethereum ethethereum currently second largest cryptocurrencyeth provides wide range reallife applicationsfurthermore ethmerge set make crypto ecofriendly moving proofofstake could cause price spike
FALSE,3547,182,0,0,0,0,bullish,new high price cocosusdt reached new 24 hour high price 07654cocos cocosusdt crypto getprofit
FALSE,140,165,0,0,1,0,bullish,schools colleges wont teach become rich take finances hand gaaxyhero already know gonna make ghc finance crypto ghcarmy ghc galaxyheroescoin
FALSE,100,273,0,0,0,0,neutral,short time crypto expert invest long time dont mean cant invest short time mean dont speculate investor speculators afraid market bearish move got afraid withdraw
FALSE,39,1766,2,0,1,0,neutral,quack crypto nft nfts
TRUE,4777,701,0,0,1,0,bearish,bitcoin btcthe worlds first largest crypto market cap always top listbtc one safest go options bear market times always good start newbiesall investors include small btc portfolio
TRUE,4777,701,0,0,1,0,neutral,top 10 trending crypto coins 2023 come long way since 1st bitcoin mined 3 january 2009there currently 20 000 different crypto currencieswe look solid cryptos look 2023 following thread
FALSE,150,717,0,0,0,0,neutral,libonomy interoperable scalable truly decentralized blockchain crypto cryptocurrency investment blockchain consensus artificialintelligence
FALSE,20,1025,0,0,0,0,bullish,great backing partnerships crypto market might bring huge benefits new projects point tell us investors partners monopolon point building project take account feedbacks community
FALSE,175,314,0,0,0,0,bullish,good morning future millionaire billionairesim bullish today smart investments crypto buycryptocurrencies
FALSE,16,140,0,0,0,0,bullish,600 usdt treasure chest denet share friendslets get treasures togetherclick join giveaway giveaways airdrop nfts crypto
FALSE,65260,13909,0,0,0,0,bullish,argentinian province mendoza starts accepting tax payments crypto news bitcoin news news argentina atm
FALSE,20,640,1,0,0,1,neutral,200 bnb 10 winner retweet pinned follow like rt show onnote people retweet pinnedonce rt reached 2kgiveaways distributed participates bnb binance ethereum cryptocurrencies cryptocurrency crypto
FALSE,31,171,0,0,0,0,bearish,live crypto prices 24h changebtc 2023800 622eth 149926 1126bnb 28157 634doge 00638
FALSE,207,145,0,0,0,0,bullish,dubai issues crypto marketing rules better protect investors
FALSE,65,59,0,0,0,0,bullish,biggest crypto project accumulate today cvp give try ecosystem growing yet make headlines better time stack enough cvp
FALSE,448,210,0,0,1,0,neutral,dubais virtual asset regulatory authority vara launches crypto marketing amp advertising guidelines
FALSE,21,164,0,0,0,0,neutral,share us biggest ambition year main mission want achieve crypto field plan expand noncrypto users since still many people dont know crypto
FALSE,32,0,0,0,0,0,neutral,binance volumeof crypto exchanges start trading nowicx eth btc enji mana aion
FALSE,7,1,0,0,0,0,neutral,1 crypto trading community hands shib eth ada bnb dot xrp ltc link uni xem ltc mana
FALSE,3372,4,0,0,0,0,neutral,bitcoin last price 19810 btc daily indicatorspivot fibonacci support 1 20003 s2 18603 s3 16337 middle 22269 resistance 1 24535ethereum last price 1446 ethpivot s1 1192 s2 1009 s3 712 1490 r1 1787crypto defi36224288
FALSE,9,0,0,0,0,0,bullish,partnerships community meet ups binance team busy travelling across globe one goal mind driving crypto adoptionnext stop binanceblockchainweek paris highlights journey far
FALSE,83,3736,2,0,0,0,neutral,quack quack quack quack quack crypto nft nfts
FALSE,3678,2,1,0,1,0,neutral,crypto alert macd cross alert 15m pair vetusdtcrypto nft binance metaverse cryptocurrency
FALSE,385,31,1,0,2,0,bullish,patient dear crypto fanaticsyouve never closer uncovering top tmrw newsmeet us exactly 3 days tell next great event dubaiunchain reality crypto nft metaverse worlds top leaders industry pioneers
FALSE,4964,479,0,0,1,0,neutral,many 20k cryptocurrencies bitcoin ethereum together make half cryptos total market value bitcoin ethereum crypto cryptonews
FALSE,55,290,0,0,0,0,bearish,people sound like stock crypto bugsstacking coal winter
FALSE,1371,1805,0,0,0,0,bullish,gammax raises 4m launch crypto derivatives exchange ethereum layer2solution
FALSE,19,187,0,0,0,0,bearish,ok catch correction price welli dont understand basis give forecast quick new alltime high facing largescale economic crisiswhere see billions coming new crypto peakbest regards
FALSE,937,1944,0,0,0,0,bullish,three life good sit hands nothing crypto
FALSE,2759,3151,0,0,0,0,bullish,ralley totally bullish white break major resistance blue linenfa dyor crypto gem x1000 x1000gem
FALSE,0,3,0,0,0,0,neutral,entry lightningnetworkomnibolt ln memecontest contest rewards giveaway airdrop crypto
FALSE,523,39,2,0,2,0,neutral,nfts nft balto crypto cryptocurrencyjoin discord join telegram 855 days 121451396197
FALSE,533,363,1,0,0,0,bullish,eosusdth4eos long term support zonelook ltf entriescrypto crypto cryptotrading btc bitcoin cryptosignals
FALSE,42,932,0,0,0,0,neutral,mech master build customize personal mechas including bacha system 2d 3d items also gives opportunity participate battles amp events adventures master mecha area need crypto experience able access interface amp technology
FALSE,25774,99,1,0,0,0,bullish,binance king crypto adoption process
FALSE,2095,1695,0,0,0,0,bearish,taliban bans crypto afghanistan arrests 13
FALSE,60,143,0,0,0,0,bearish,oh yes u r right like movie alladin flying carpet never history anything anyone ever done anything like crypto know guy real deal loop ring eth address name
FALSE,698,726,0,0,0,0,bullish,truly mentioned almost projects done well time launch missed bybit crypto cryptocurency
FALSE,639,192,0,0,0,0,bearish,singapores central bank slams crypto trading talks digitalasset opportunities regulator tries clarify position cryptocurrencies market meltdown
FALSE,207,1664,0,0,2,0,bullish,ive joined airdrop super app ios android give us ability use crypto pay daily purchases instantly feeless running win prize
